file_size_mb,file_size_bytes,tests,throughput_kbps,goodput_kbps,completion_time_seconds,packet_loss_rate
1,1048576,3,8667.496666666668,8667.496666666668,0.9933333333333333,0.0
5,5242880,3,6000.160000000001,6000.160000000001,7.82,0.0
10,10485760,3,4733.673333333333,4733.673333333333,18.146666666666665,0.0
50,52428800,3,5540.643333333333,5540.643333333333,78.54666666666667,0.0
