packet_size,tests,throughput_kbps,goodput_kbps,completion_time_seconds,packet_loss_rate,retransmission_rate,avg_rtt_ms
256,3,2020.7166666666665,2020.7166666666665,10.64,0.0,0.0,0.43
512,3,4563.316666666667,4563.316666666667,9.433333333333334,0.0,0.0,0.3866666666666667
1024,3,10119.416666666666,10119.416666666666,8.553333333333333,0.0,0.0,0.3466666666666667
2048,3,19478.289999999997,19478.289999999997,8.87,0.0,0.0,0.3666666666666667
